Hotel_Name,Hotel_Rating,City,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Stars
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3395,4
Super OYO Townhouse 235 Swain Heritage,4.4,bhubaneswar,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,2044,3.545108005
Treebo Trend Oasis,4.2,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2854,3
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4367,4
The Westin Goa,4.6,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,20650,5
The LaLiT Golf & Spa Resort Goa,4.4,goa,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,16756,5
Casa Seaesta Beach Cottages and Suites,3.6,goa,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,2466,6
Radisson Resort Goa Baga,4.8,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4397,4
W Goa,4.5,goa,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7435,5
"The Hosteller Goa, Arpora",4.3,goa,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0,1157,3.545108005
Grand Hyatt Goa,4.6,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,20307,5
Little India Beach Cottages,4,goa,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle,6947,3.545108005
"Holiday Inn Resort Goa, an IHG Hotel",4.6,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,11934,5
Agonda Paradise Beach Huts,4.2,goa,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,4200,9
Pitruchaya Sea View Cottages by Vyom Trails,4.1,goa,0,0,0,0,0,0,0,0,1617,0
The LaLiT Golf & Spa Resort Goa,4.4,goa,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11855,5
"Whoopers Boutique Hotel, Anjuna",4.9,goa,0,0,0,0,0,0,0,0,1612,0
"The Hosteller Goa, Candolim",4.7,goa,Free parking,Pool,Air conditioning,Breakfast,0,0,0,0,1315,3.545108005
Tropical Bay,3.8,goa,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Kitchen,Kid-friendly,0,1344,3.545108005
Cola Goa Beach Resort,4.3,goa,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,Bar,12744,3.545108005
Blue Lagoon Resort | Room & Restaurant,3.9,goa,Sleeps 8,3 bedrooms,Fireplace,Paid parking,Free Wi-Fi,No air conditioning,No crib,No elevator,4487,3.545108005
